,Fumador,Edad,Escolaridad,Ingreso,Pcigs79
0,0,21,12.0,8500,60.6
1,1,28,15.0,12500,60.6
2,0,67,10.0,12500,60.6
3,0,20,12.0,12500,60.6
4,1,32,12.0,20000,60.6
5,0,46,15.0,30000,60.6
6,0,58,12.0,30000,60.6
7,1,27,13.5,30000,60.6
8,0,83,0.0,6500,60.6
9,1,24,12.0,20000,60.6
10,1,43,16.0,20000,60.6
11,0,19,13.5,30000,60.6
12,0,46,16.0,20000,60.6
13,1,58,12.0,30000,60.6
14,0,54,16.0,20000,60.6
15,0,48,12.0,20000,60.6
16,0,70,2.5,3500,60.6
17,0,63,13.5,8500,60.6
18,0,32,10.0,8500,60.9
19,0,22,16.0,30000,60.8
20,0,53,13.5,20000,60.8
21,1,44,15.0,30000,60.8
22,0,63,10.0,20000,60.8
23,1,28,10.0,20000,60.8
24,1,26,13.5,12500,60.8
25,1,34,12.0,20000,60.8
26,0,68,8.0,8500,60.8
27,1,48,10.0,30000,60.8
28,0,75,8.0,12500,61.5
29,0,33,12.0,20000,61.5
30,0,19,13.5,30000,61.5
31,1,71,8.0,20000,61.5
32,0,55,15.0,12500,61.5
33,0,40,16.0,20000,61.5
34,1,38,18.0,30000,61.5
35,0,55,18.0,6500,62.1
36,1,19,10.0,4500,62.1
37,0,77,8.0,20000,62.1
38,1,68,10.0,5500,62.1
39,0,27,16.0,30000,62.1
40,0,47,18.0,30000,62.1
41,0,70,13.5,12500,62.1
42,0,40,18.0,30000,62.1
43,0,47,8.0,20000,62.1
44,0,31,18.0,30000,62.1
45,1,40,13.5,30000,62.1
46,0,47,13.5,30000,62.1
47,0,25,13.5,4500,62.1
48,0,31,12.0,12500,62.1
49,1,29,13.5,20000,62.1
50,1,28,13.5,20000,62.1
51,0,57,12.0,20000,62.1
52,0,48,12.0,20000,62.1
53,0,45,12.0,12500,62.1
54,1,18,12.0,12500,62.1
55,0,75,10.0,8500,62.1
56,0,53,10.0,8500,62.1
57,1,54,12.0,20000,62.1
58,0,17,10.0,12500,62.1
59,0,70,16.0,30000,62.1
60,0,29,12.0,20000,62.1
61,0,75,10.0,8500,62.1
62,0,19,12.0,20000,62.1
63,0,30,13.5,30000,62.1
64,1,27,12.0,30000,62.1
65,0,31,16.0,30000,62.1
